,sales,date,region
3783,154200,2018-06-21,west
3808,174300,2018-06-22,north
3809,179700,2018-06-22,south
3810,168600,2018-06-22,east
3811,168300,2018-06-22,west
3836,179100,2018-06-23,north
3837,155400,2018-06-23,south
3838,169500,2018-06-23,east
3839,156600,2018-06-23,west
3864,156300,2018-06-24,north
3865,162300,2018-06-24,south
3866,153000,2018-06-24,east
3867,166200,2018-06-24,west
3892,165000,2018-06-25,north
3893,160200,2018-06-25,south
3894,154800,2018-06-25,east
3895,162300,2018-06-25,west
3920,172800,2018-06-26,north
3921,153300,2018-06-26,south
3922,150300,2018-06-26,east
3923,162900,2018-06-26,west
3948,158100,2018-06-27,north
3949,165900,2018-06-27,south
3950,170700,2018-06-27,east
3951,166500,2018-06-27,west
3976,156300,2018-06-28,north
3977,163800,2018-06-28,south
3978,169200,2018-06-28,east
3979,150300,2018-06-28,west
4004,168600,2018-06-29,north
4005,176400,2018-06-29,south
4006,162900,2018-06-29,east
4007,177900,2018-06-29,west
4032,155400,2018-06-30,north
4033,165300,2018-06-30,south
4034,151500,2018-06-30,east
4035,155700,2018-06-30,west
4060,174600,2018-07-01,north
4061,167100,2018-07-01,south
4062,171600,2018-07-01,east
4063,155400,2018-07-01,west
4088,169500,2018-07-02,north
4089,161100,2018-07-02,south
4090,168000,2018-07-02,east
4091,167100,2018-07-02,west
4116,164400,2018-07-03,north
4117,163800,2018-07-03,south
4118,162300,2018-07-03,east
4119,151500,2018-07-03,west
4144,174300,2018-07-04,north
4145,158700,2018-07-04,south
4146,176400,2018-07-04,east
4147,157200,2018-07-04,west
4172,175200,2018-07-05,north
4173,164700,2018-07-05,south
4174,157500,2018-07-05,east
4175,150000,2018-07-05,west
4200,174300,2018-07-06,north
4201,156600,2018-07-06,south
4202,175800,2018-07-06,east
4203,168900,2018-07-06,west
4228,177600,2018-07-07,north
4229,177000,2018-07-07,south
4230,169500,2018-07-07,east
4231,156600,2018-07-07,west
4256,162300,2018-07-08,north
4257,177600,2018-07-08,south
4258,151500,2018-07-08,east
4259,176100,2018-07-08,west
4284,162300,2018-07-09,north
4285,178800,2018-07-09,south
4286,154200,2018-07-09,east
4287,151500,2018-07-09,west
4312,179400,2018-07-10,north
4313,179400,2018-07-10,south
4314,175500,2018-07-10,east
4315,176100,2018-07-10,west
4340,160500,2018-07-11,north
4341,156900,2018-07-11,south
4342,163800,2018-07-11,east
4343,167700,2018-07-11,west
4368,159300,2018-07-12,north
4369,150000,2018-07-12,south
4370,153900,2018-07-12,east
4371,171900,2018-07-12,west
4396,174900,2018-07-13,north
4397,159600,2018-07-13,south
4398,168000,2018-07-13,east
4399,150900,2018-07-13,west
4424,150000,2018-07-14,north
4425,165300,2018-07-14,south
4426,162000,2018-07-14,east
4427,157500,2018-07-14,west
4452,173700,2018-07-15,north
4453,171300,2018-07-15,south
4454,169800,2018-07-15,east
4455,153900,2018-07-15,west
4480,177300,2018-07-16,north
4481,170700,2018-07-16,south
4482,155400,2018-07-16,east
4483,151500,2018-07-16,west
4508,155100,2018-07-17,north
4509,156600,2018-07-17,south
4510,178800,2018-07-17,east
4511,161400,2018-07-17,west
4536,170400,2018-07-18,north
4537,165600,2018-07-18,south
4538,153000,2018-07-18,east
4539,165900,2018-07-18,west
4564,162000,2018-07-19,north
4565,172500,2018-07-19,south
4566,170400,2018-07-19,east
4567,152700,2018-07-19,west
4592,173100,2018-07-20,north
4593,176100,2018-07-20,south
4594,164400,2018-07-20,east
4595,165300,2018-07-20,west
4620,172500,2018-07-21,north
4621,169800,2018-07-21,south
4622,166200,2018-07-21,east
4623,165600,2018-07-21,west
4648,160800,2018-07-22,north
4649,177300,2018-07-22,south
4650,165900,2018-07-22,east
4651,164700,2018-07-22,west
4676,163800,2018-07-23,north
4677,162300,2018-07-23,south
4678,171900,2018-07-23,east
4679,162900,2018-07-23,west
4704,170100,2018-07-24,north
4705,172500,2018-07-24,south
4706,175200,2018-07-24,east
4707,155700,2018-07-24,west
4732,150000,2018-07-25,north
4733,170700,2018-07-25,south
4734,153300,2018-07-25,east
4735,173700,2018-07-25,west
4760,160500,2018-07-26,north
4761,176700,2018-07-26,south
4762,155100,2018-07-26,east
4763,152100,2018-07-26,west
4788,165900,2018-07-27,north
4789,161100,2018-07-27,south
4790,169500,2018-07-27,east
4791,163200,2018-07-27,west
4816,151500,2018-07-28,north
4817,158400,2018-07-28,south
4818,159600,2018-07-28,east
4819,174300,2018-07-28,west
4844,179100,2018-07-29,north
4845,159900,2018-07-29,south
4846,174900,2018-07-29,east
4847,175500,2018-07-29,west
4872,175500,2018-07-30,north
4873,166200,2018-07-30,south
4874,150900,2018-07-30,east
4875,177600,2018-07-30,west
4900,169500,2018-07-31,north
4901,170700,2018-07-31,south
4902,154800,2018-07-31,east
4903,157800,2018-07-31,west
4928,156300,2018-08-01,north
4929,167400,2018-08-01,south
4930,155400,2018-08-01,east
4931,166500,2018-08-01,west
4956,152700,2018-08-02,north
4957,161700,2018-08-02,south
4958,154800,2018-08-02,east
4959,167100,2018-08-02,west
4984,166800,2018-08-03,north
4985,167100,2018-08-03,south
4986,171900,2018-08-03,east
4987,166800,2018-08-03,west
5012,153600,2018-08-04,north
5013,173400,2018-08-04,south
5014,174300,2018-08-04,east
5015,177600,2018-08-04,west
5040,165000,2018-08-05,north
5041,159900,2018-08-05,south
5042,161400,2018-08-05,east
5043,177300,2018-08-05,west
5068,161100,2018-08-06,north
5069,160500,2018-08-06,south
5070,155400,2018-08-06,east
5071,178800,2018-08-06,west
5096,156600,2018-08-07,north
5097,156000,2018-08-07,south
5098,155100,2018-08-07,east
5099,162600,2018-08-07,west
5124,166500,2018-08-08,north
5125,153900,2018-08-08,south
5126,150600,2018-08-08,east
5127,161700,2018-08-08,west
5152,179700,2018-08-09,north
5153,179400,2018-08-09,south
5154,162000,2018-08-09,east
5155,168300,2018-08-09,west
5180,162000,2018-08-10,north
5181,155400,2018-08-10,south
5182,170100,2018-08-10,east
5183,178500,2018-08-10,west
5208,168900,2018-08-11,north
5209,165000,2018-08-11,south
5210,153300,2018-08-11,east
5211,158700,2018-08-11,west
5236,150900,2018-08-12,north
5237,174300,2018-08-12,south
5238,171900,2018-08-12,east
5239,174300,2018-08-12,west
5264,170100,2018-08-13,north
5265,162900,2018-08-13,south
5266,163800,2018-08-13,east
5267,161100,2018-08-13,west
5292,162300,2018-08-14,north
5293,163500,2018-08-14,south
5294,171600,2018-08-14,east
5295,170700,2018-08-14,west
5320,160200,2018-08-15,north
5321,154200,2018-08-15,south
5322,180000,2018-08-15,east
5323,173400,2018-08-15,west
5348,178800,2018-08-16,north
5349,161400,2018-08-16,south
5350,174300,2018-08-16,east
5351,177000,2018-08-16,west
5376,177600,2018-08-17,north
5377,171300,2018-08-17,south
5378,162300,2018-08-17,east
5379,175200,2018-08-17,west
5404,152700,2018-08-18,north
5405,177600,2018-08-18,south
5406,168900,2018-08-18,east
5407,171300,2018-08-18,west
5432,150900,2018-08-19,north
5433,157500,2018-08-19,south
5434,170100,2018-08-19,east
5435,157500,2018-08-19,west
5460,158100,2018-08-20,north
5461,177900,2018-08-20,south
5462,166200,2018-08-20,east
5463,150600,2018-08-20,west
5488,179400,2018-08-21,north
5489,165900,2018-08-21,south
5490,164400,2018-08-21,east
5491,170700,2018-08-21,west
5516,170400,2018-08-22,north
5517,150000,2018-08-22,south
5518,153900,2018-08-22,east
5519,180000,2018-08-22,west
5544,155700,2018-08-23,north
5545,155400,2018-08-23,south
5546,178800,2018-08-23,east
5547,156300,2018-08-23,west
5572,154800,2018-08-24,north
5573,156000,2018-08-24,south
5574,173400,2018-08-24,east
5575,164400,2018-08-24,west
5600,162900,2018-08-25,north
5601,167700,2018-08-25,south
5602,176400,2018-08-25,east
5603,151500,2018-08-25,west
5628,154200,2018-08-26,north
5629,154500,2018-08-26,south
5630,166800,2018-08-26,east
5631,158400,2018-08-26,west
5656,160500,2018-08-27,north
5657,174000,2018-08-27,south
5658,160200,2018-08-27,east
5659,150900,2018-08-27,west
5684,156600,2018-08-28,north
5685,168000,2018-08-28,south
5686,165600,2018-08-28,east
5687,172200,2018-08-28,west
5712,166200,2018-08-29,north
5713,179400,2018-08-29,south
5714,173400,2018-08-29,east
5715,164700,2018-08-29,west
5740,163500,2018-08-30,north
5741,174300,2018-08-30,south
5742,166500,2018-08-30,east
5743,177000,2018-08-30,west
5768,174900,2018-08-31,north
5769,169500,2018-08-31,south
5770,164400,2018-08-31,east
5771,160200,2018-08-31,west
5796,156000,2018-09-01,north
5797,150000,2018-09-01,south
5798,171900,2018-09-01,east
5799,155700,2018-09-01,west
5824,152700,2018-09-02,north
5825,165300,2018-09-02,south
5826,150600,2018-09-02,east
5827,157500,2018-09-02,west
5852,174900,2018-09-03,north
5853,177000,2018-09-03,south
5854,167400,2018-09-03,east
5855,165000,2018-09-03,west
5880,179400,2018-09-04,north
5881,150900,2018-09-04,south
5882,178500,2018-09-04,east
5883,153900,2018-09-04,west
5908,173100,2018-09-05,north
5909,161700,2018-09-05,south
5910,165600,2018-09-05,east
5911,159900,2018-09-05,west
5936,171300,2018-09-06,north
5937,150600,2018-09-06,south
5938,175800,2018-09-06,east
5939,165000,2018-09-06,west
5964,179100,2018-09-07,north
5965,162300,2018-09-07,south
5966,177600,2018-09-07,east
5967,165300,2018-09-07,west
5992,165900,2018-09-08,north
5993,175500,2018-09-08,south
5994,153300,2018-09-08,east
5995,155700,2018-09-08,west
6020,152700,2018-09-09,north
6021,161400,2018-09-09,south
6022,163800,2018-09-09,east
6023,170400,2018-09-09,west
6048,165000,2018-09-10,north
6049,165600,2018-09-10,south
6050,178200,2018-09-10,east
6051,152700,2018-09-10,west
6076,157800,2018-09-11,north
6077,176700,2018-09-11,south
6078,174900,2018-09-11,east
6079,152400,2018-09-11,west
6104,171900,2018-09-12,north
6105,169500,2018-09-12,south
6106,174000,2018-09-12,east
6107,153300,2018-09-12,west
6132,165300,2018-09-13,north
6133,156000,2018-09-13,south
6134,167700,2018-09-13,east
6135,153900,2018-09-13,west
6160,171300,2018-09-14,north
6161,155400,2018-09-14,south
6162,174300,2018-09-14,east
6163,170100,2018-09-14,west
6188,158700,2018-09-15,north
6189,151200,2018-09-15,south
6190,169800,2018-09-15,east
6191,174600,2018-09-15,west
6216,155400,2018-09-16,north
6217,155400,2018-09-16,south
6218,178200,2018-09-16,east
6219,178200,2018-09-16,west
6244,176400,2018-09-17,north
6245,162000,2018-09-17,south
6246,154500,2018-09-17,east
6247,172200,2018-09-17,west
6272,150300,2018-09-18,north
6273,153000,2018-09-18,south
6274,173700,2018-09-18,east
6275,169200,2018-09-18,west
6300,154200,2018-09-19,north
6301,175800,2018-09-19,south
6302,177900,2018-09-19,east
6303,159300,2018-09-19,west
6328,168600,2018-09-20,north
6329,174900,2018-09-20,south
6330,166200,2018-09-20,east
6331,156900,2018-09-20,west
6356,159000,2018-09-21,north
6357,166500,2018-09-21,south
6358,171600,2018-09-21,east
6359,170400,2018-09-21,west
6384,163200,2018-09-22,north
6385,158100,2018-09-22,south
6386,175800,2018-09-22,east
6387,164100,2018-09-22,west
6412,173100,2018-09-23,north
6413,167700,2018-09-23,south
6414,172800,2018-09-23,east
6415,175500,2018-09-23,west
6440,161100,2018-09-24,north
6441,159300,2018-09-24,south
6442,179700,2018-09-24,east
6443,156000,2018-09-24,west
6468,153000,2018-09-25,north
6469,177000,2018-09-25,south
6470,161100,2018-09-25,east
6471,170100,2018-09-25,west
6496,161700,2018-09-26,north
6497,151500,2018-09-26,south
6498,171300,2018-09-26,east
6499,150000,2018-09-26,west
6524,163200,2018-09-27,north
6525,171300,2018-09-27,south
6526,174300,2018-09-27,east
6527,158700,2018-09-27,west
6552,174900,2018-09-28,north
6553,153300,2018-09-28,south
6554,165300,2018-09-28,east
6555,151200,2018-09-28,west
6580,151800,2018-09-29,north
